model,manufacture,color,msrp,engine.cylinder,engine.stroke,displacement,bore,stroke,comp.ratio,starter,transmission,lubricator,final.drive,cooling,clutch,ignition,frame,front.suspension,rear.suspension,front.brake,rear.brake,wheelbase,seat.height,overall.length,overall.width,overall.height,clearance,fuel.cap,total.weight
HondaCR85R,Honda,red,2999,1,2,84,48,48,8,,6,,chain,,,electronic,,Showa cartridge fork,Showa single shock,disc,disc,49.1,32.4,,,,12.2,1.35,144
HondaCR85RB,Honda,red,3099,1,2,84,48,48,8,,6,,chain,,,electronic,,Showa cartridge fork,Showa single shock,disc,disc,49.1,34,,,,13.9,1.35,145
HondaCRF100F,Honda,red,2249,1,4,99,53,45,9,,5,,chain,,,CD,,Showa cartridge fork,Showa single shock,drum,drum,49.2,30.9,,,,10,1.5,165
HondaCRF150F,Honda,red,2999,1,4,157,64,49,9,,5,,O-ring,,,CDI,,Showa cartridge fork,Showa single shock,disc,drum,52.2,32.5,,,,10,2.2,216
HondaCRF230F,Honda,red,3499,1,4,223,66,66,9,,6,,O-ring,,,CDI,,Showa cartridge fork,Showa single shock,disc,drum,54.1,34.1,,,,11.7,2.2,238
HondaCRF250R,Honda,red,5899,1,4,249,78,52,12,,5,,chain,,,electronic,,Showa cartridge fork,Showa single shock,disc,disc,58.2,38,,,,14.2,2,204
HondaCRF250X,Honda,red,6199,1,4,249,78,52,12,,5,,T-ring,,,electronic,,cartridge fork,Showa single shock,disc,disc,58.6,37.9,,,,14.2,2.2,228
HondaCRF450R,Honda,red,6699,1,4,449,96,62,12,,5,,chain,,,electronic,,Showa cartridge fork,Showa single shock,disc,disc,58.7,37.6,,,,13.4,1.9,218.5
HondaCRF450X,Honda,red,6999,1,4,449,96,62,12,,5,,T-ring,,,electronic,,Showa cartridge fork,Showa single shock,disc,disc,58.2,37.9,,,,13.7,2.27,255
HondaCRF50F,Honda,red,1249,1,4,49,39,41,10,,3,,chain,,,CD,,telescopic fork,single shock,drum,drum,36,21.6,,,,5.8,0.8,104
HondaCRF70F,Honda,red,1549,1,4,72,47,41,9,,3,,chain,,,CD,,telescopic fork,single shock,drum,drum,42,26.1,,,,7,1.5,128
HondaCRF80F,Honda,red,1949,1,4,80,48,45,10,,5,,chain,,,CD,,Showa cartridge fork,single shock,drum,drum,47.6,28.9,,,,8.6,1.5,154
HondaXR250R,Honda,red,4699,1,4,249,73,59,10,,6,,O-ring,,,electronic,,Kayaba cartridge fork,Kayaba single shock,disc,disc,55.1,36,,,,12.4,2.4,240
HondaXR400R,Honda,red,5299,1,4,397,85,70,9,,5,,O-ring,,,electronic,,Showa cartridge fork,Showa single shock,disc,disc,56.1,36.5,,,,12.2,2.5,257
HondaXR650L,Honda,red,5599,1,4,644,100,82,8,,5,,O-ring,,,electronic,,Showa cartridge fork,Showa single shock,disc,disc,57.3,37,,,,13,2.8,324
HondaXR650R,Honda,red,6099,1,4,649,100,83,10,,5,,520 O-ring,,,electronic,,Kayaba cartridge fork,Kayaba single shock,disc,disc,58.3,36.8,,,,12,2.6,277
KawasakiKDX200,Kawasaki,green,4099,1,2,198,66,58,8,,6,,,liquid,,electronic,perimeter,cartridge fork,single shock,disc,disc,56.5,36.2,83.5,35,48.4,13.4,2.9,222.6
KawasakiKDX220R,Kawasaki,green,4499,1,2,216,69,58,7,,6,,,liquid,,electronic,,cartridge fork,single shock,disc,disc,56.5,36.2,83.5,35,48.4,13.4,2.9,222.6
KawasakiKDX50,Kawasaki,green,1099,1,2,49,41,38,6,,1,,,air,,digital,,telescopic fork,twin shock,drum,drum,33.9,18.9,49,23.4,28.7,4.5,0.53,84
KawasakiKLR250,Kawasaki,red,4099,1,4,249,74,58,11,,6,,,liquid,,CDI,double cradle,telescopic fork,single shock,disc,drum,55.7,33.7,84.3,33.7,47.6,10.6,2.9,258
KawasakiKLR650,Kawasaki,red,5099,1,4,651,100,83,10,,5,,,liquid,,electronic,semi double cradle,air adjustable fork,single shock,disc,disc,58.9,35,86.8,37,53,9.4,6.1,337
KawasakiKLX110,Kawasaki,green,1649,1,4,111,53,51,10,,3,,,air,,CDI,backbone,telescopic fork,single shock,drum,drum,41.9,25.6,61.2,26,37.6,7.5,1,141.1
